Dystans do przejscia: 1000, dlugosc kroku: 5
5037: (x,y)=(-81.7633,257.74)
5038: (x,y)=(-79.416,262.155)
5039: (x,y)=(-76.006,258.498)
5040: (x,y)=(-79.1526,254.612)
5041: (x,y)=(-83.0383,257.759)
5042: (x,y)=(-81.9136,262.631)
5043: (x,y)=(-79.3384,266.917)
5044: (x,y)=(-80.4631,262.045)
5045: (x,y)=(-79.5091,257.137)
5046: (x,y)=(-82.377,261.232)
5047: (x,y)=(-79.7274,256.992)
5048: (x,y)=(-84.557,255.698)
5049: (x,y)=(-79.6852,256.823)
5050: (x,y)=(-75.0826,258.777)
5051: (x,y)=(-70.0857,258.951)
5052: (x,y)=(-68.2126,254.315)
5053: (x,y)=(-63.2126,254.315)
5054: (x,y)=(-59.1676,251.376)
5055: (x,y)=(-64.1645,251.551)
5056: (x,y)=(-59.5968,253.584)
5057: (x,y)=(-57.4049,258.078)
5058: (x,y)=(-56.0267,262.885)
5059: (x,y)=(-51.1549,261.76)
5060: (x,y)=(-56.1359,261.324)
5061: (x,y)=(-51.9907,258.528)
5062: (x,y)=(-53.7825,253.86)
5063: (x,y)=(-52.3207,249.079)
5064: (x,y)=(-50.4476,253.715)
5065: (x,y)=(-46.5619,256.861)
5066: (x,y)=(-41.8066,255.316)
5067: (x,y)=(-41.1973,250.353)
5068: (x,y)=(-40.9356,245.36)
5069: (x,y)=(-45.1758,248.01)
5070: (x,y)=(-42.3799,243.865)
5071: (x,y)=(-37.9651,246.212)
5072: (x,y)=(-39.6752,250.911)
5073: (x,y)=(-35.2202,248.641)
5074: (x,y)=(-38.877,252.051)
5075: (x,y)=(-43.5754,250.34)
5076: (x,y)=(-48.4051,249.046)
5077: (x,y)=(-47.7092,253.998)
5078: (x,y)=(-50.6481,258.043)
5079: (x,y)=(-50.2123,253.062)
5080: (x,y)=(-53.0802,248.966)
5081: (x,y)=(-48.7501,246.466)
5082: (x,y)=(-52.6358,243.319)
5083: (x,y)=(-57.5266,244.359)
5084: (x,y)=(-58.8207,249.189)
5085: (x,y)=(-62.8138,252.198)
5086: (x,y)=(-64.6057,247.53)
5087: (x,y)=(-66.7975,243.036)
5088: (x,y)=(-63.9296,238.94)
5089: (x,y)=(-60.1561,242.22)
5090: (x,y)=(-59.8944,237.227)
5091: (x,y)=(-64.5303,239.1)
5092: (x,y)=(-69.4385,240.054)
5093: (x,y)=(-64.5144,240.923)
5094: (x,y)=(-68.4545,244.001)
5095: (x,y)=(-73.4423,243.652)
5096: (x,y)=(-72.4883,248.56)
5097: (x,y)=(-76.204,251.906)
5098: (x,y)=(-72.9901,248.076)
5099: (x,y)=(-77.626,249.949)
5100: (x,y)=(-80.9063,246.175)
5101: (x,y)=(-84.1866,242.402)
5102: (x,y)=(-85.4807,247.231)
5103: (x,y)=(-84.0188,242.45)
5104: (x,y)=(-79.1469,241.325)
5105: (x,y)=(-78.1929,236.417)
5106: (x,y)=(-80.2266,231.849)
5107: (x,y)=(-78.8484,236.655)
5108: (x,y)=(-81.7163,232.56)
5109: (x,y)=(-85.0619,228.844)
5110: (x,y)=(-82.792,224.389)
5111: (x,y)=(-80.8383,228.991)
5112: (x,y)=(-80.229,233.954)
5113: (x,y)=(-84.169,237.032)
5114: (x,y)=(-88.2648,239.9)
5115: (x,y)=(-83.8917,242.324)
5116: (x,y)=(-82.5135,237.518)
5117: (x,y)=(-84.5472,242.086)
5118: (x,y)=(-80.402,244.882)
5119: (x,y)=(-78.3683,249.449)
5120: (x,y)=(-73.9536,251.797)
5121: (x,y)=(-78.4851,253.91)
5122: (x,y)=(-75.0118,257.507)
5123: (x,y)=(-79.9928,257.071)
5124: (x,y)=(-84.9441,257.767)
5125: (x,y)=(-85.8982,262.675)
5126: (x,y)=(-82.0125,259.528)
5127: (x,y)=(-78.6668,263.244)
5128: (x,y)=(-81.0909,267.617)
5129: (x,y)=(-80.1368,262.709)
5130: (x,y)=(-82.4068,267.164)
5131: (x,y)=(-84.1169,262.465)
5132: (x,y)=(-80.1768,265.544)
5133: (x,y)=(-75.1837,265.282)
5134: (x,y)=(-80.1829,265.369)
5135: (x,y)=(-80.5317,260.382)
5136: (x,y)=(-79.4921,265.272)
5137: (x,y)=(-75.9566,261.737)
5138: (x,y)=(-72.2998,265.147)
5139: (x,y)=(-70.0299,260.692)
5140: (x,y)=(-71.6577,255.964)
5141: (x,y)=(-66.6585,256.051)
5142: (x,y)=(-71.6311,256.574)
5143: (x,y)=(-70.337,251.744)
5144: (x,y)=(-65.3492,251.396)
5145: (x,y)=(-60.5676,252.857)
5146: (x,y)=(-65.4917,253.726)
5147: (x,y)=(-69.6369,256.522)
5148: (x,y)=(-73.5226,259.668)
5149: (x,y)=(-76.6692,263.554)
5150: (x,y)=(-76.3204,268.542)
5151: (x,y)=(-80.6063,271.117)
5152: (x,y)=(-82.6399,275.685)
5153: (x,y)=(-78.6999,278.763)
5154: (x,y)=(-75.832,282.859)
5155: (x,y)=(-78.8411,286.852)
5156: (x,y)=(-75.832,282.859)
5157: (x,y)=(-80.6616,284.153)
5158: (x,y)=(-85.6586,284.327)
5159: (x,y)=(-90.4139,282.782)
5160: (x,y)=(-91.4534,277.892)
5161: (x,y)=(-95.6468,280.615)
5162: (x,y)=(-95.298,275.627)
5163: (x,y)=(-90.374,276.495)
5164: (x,y)=(-95.3367,277.105)
5165: (x,y)=(-96.2907,282.013)
5166: (x,y)=(-97.159,277.089)
5167: (x,y)=(-92.1597,277.001)
5168: (x,y)=(-95.238,273.061)
5169: (x,y)=(-94.5422,278.013)
5170: (x,y)=(-99.2975,279.558)
5171: (x,y)=(-94.5422,278.013)
5172: (x,y)=(-97.4101,273.917)
5173: (x,y)=(-92.8785,271.804)
5174: (x,y)=(-92.4427,276.785)
5175: (x,y)=(-95.9783,273.249)
5176: (x,y)=(-99.3239,269.534)
5177: (x,y)=(-104.287,268.924)
5178: (x,y)=(-108.432,266.128)
5179: (x,y)=(-105.152,262.355)
5180: (x,y)=(-109.646,260.163)
5181: (x,y)=(-113.419,256.883)
5182: (x,y)=(-118.291,258.007)
5183: (x,y)=(-114.246,260.946)
5184: (x,y)=(-111.596,265.186)
5185: (x,y)=(-110.218,269.993)
5186: (x,y)=(-114.821,271.946)
5187: (x,y)=(-110.093,270.319)
5188: (x,y)=(-112.889,274.464)
5189: (x,y)=(-107.901,274.813)
5190: (x,y)=(-107.727,269.816)
5191: (x,y)=(-103.059,268.024)
5192: (x,y)=(-106.999,264.945)
5193: (x,y)=(-111.98,265.381)
5194: (x,y)=(-113.105,270.253)
5195: (x,y)=(-113.8,265.302)
5196: (x,y)=(-118.468,263.51)
5197: (x,y)=(-113.471,263.335)
5198: (x,y)=(-117.411,266.414)
5199: (x,y)=(-112.743,264.622)
5200: (x,y)=(-110.474,260.167)
5201: (x,y)=(-106.378,257.299)
5202: (x,y)=(-101.846,259.412)
5203: (x,y)=(-97.0647,260.874)
5204: (x,y)=(-92.2832,262.336)
5205: (x,y)=(-94.7832,258.006)
5206: (x,y)=(-94.3474,262.987)
5207: (x,y)=(-89.3474,262.987)
5208: (x,y)=(-87.3937,258.384)
5209: (x,y)=(-91.634,255.734)
5210: (x,y)=(-93.9039,260.19)
5211: (x,y)=(-96.1739,255.734)
5212: (x,y)=(-100.167,258.744)
5213: (x,y)=(-97.6671,254.413)
5214: (x,y)=(-99.7802,258.945)
5215: (x,y)=(-101.653,263.581)
5216: (x,y)=(-97.66,266.59)
5217: (x,y)=(-94.864,262.445)
5218: (x,y)=(-95.2998,267.426)
5219: (x,y)=(-92.3609,271.471)
5220: (x,y)=(-91.665,276.422)
5221: (x,y)=(-87.0973,274.389)
5222: (x,y)=(-90.5073,278.045)
5223: (x,y)=(-88.4736,273.478)
5224: (x,y)=(-84.1878,276.053)
5225: (x,y)=(-85.3125,280.925)
5226: (x,y)=(-83.6024,276.226)
5227: (x,y)=(-78.6093,275.964)
5228: (x,y)=(-83.4608,274.755)
5229: (x,y)=(-79.9875,278.352)
5230: (x,y)=(-78.3596,283.079)
5231: (x,y)=(-80.9348,287.365)
5232: (x,y)=(-80.6731,292.358)
5233: (x,y)=(-77.1998,295.955)
5234: (x,y)=(-75.738,300.736)
5235: (x,y)=(-78.3132,305.022)
5236: (x,y)=(-74.1198,302.299)
5237: (x,y)=(-69.248,301.174)
5238: (x,y)=(-67.7029,296.419)
5239: (x,y)=(-70.0503,292.004)
5240: (x,y)=(-68.4224,296.732)
5241: (x,y)=(-63.7545,298.524)
5242: (x,y)=(-61.1049,294.283)
5243: (x,y)=(-56.3234,292.822)
5244: (x,y)=(-58.3571,297.389)
5245: (x,y)=(-61.4354,301.329)
5246: (x,y)=(-65.7212,298.754)
5247: (x,y)=(-70.4488,300.382)
5248: (x,y)=(-72.8729,296.009)
5249: (x,y)=(-74.583,300.707)
5250: (x,y)=(-75.8771,295.878)
5251: (x,y)=(-79.4738,292.404)
5252: (x,y)=(-78.0956,297.211)
5253: (x,y)=(-76.3037,292.543)
5254: (x,y)=(-78.7278,296.916)
5255: (x,y)=(-74.4875,299.566)
5256: (x,y)=(-76.9116,303.939)
5257: (x,y)=(-76.2157,308.89)
5258: (x,y)=(-73.1374,304.95)
5259: (x,y)=(-71.0243,300.418)
5260: (x,y)=(-68.9112,304.95)
5261: (x,y)=(-70.7031,309.618)
5262: (x,y)=(-65.7031,309.618)
5263: (x,y)=(-65.4414,314.611)
5264: (x,y)=(-69.6816,317.261)
5265: (x,y)=(-68.472,322.112)
5266: (x,y)=(-70.1821,317.414)
5267: (x,y)=(-65.6506,315.3)
5268: (x,y)=(-68.9962,311.585)
5269: (x,y)=(-69.432,316.566)
5270: (x,y)=(-74.432,316.566)
5271: (x,y)=(-77.0816,312.325)
5272: (x,y)=(-80.6783,315.799)
5273: (x,y)=(-76.6332,312.86)
5274: (x,y)=(-72.1782,315.13)
5275: (x,y)=(-75.5882,311.473)
5276: (x,y)=(-76.024,316.454)
5277: (x,y)=(-71.4214,318.408)
5278: (x,y)=(-71.7702,323.395)
5279: (x,y)=(-73.4803,328.094)
5280: (x,y)=(-76.5586,332.034)
5281: (x,y)=(-72.9019,328.624)
5282: (x,y)=(-77.6834,330.086)
5283: (x,y)=(-74.1478,326.55)
5284: (x,y)=(-79.1205,327.073)
5285: (x,y)=(-76.6205,322.743)
5286: (x,y)=(-75.1586,317.961)
5287: (x,y)=(-70.329,316.667)
5288: (x,y)=(-74.1592,319.881)
5289: (x,y)=(-73.2909,314.957)
5290: (x,y)=(-72.6816,309.994)
5291: (x,y)=(-68.3515,312.494)
5292: (x,y)=(-71.6318,308.721)
5293: (x,y)=(-71.5445,303.722)
5294: (x,y)=(-66.9768,301.688)
5295: (x,y)=(-63.4412,305.223)
5296: (x,y)=(-63.354,300.224)
5297: (x,y)=(-68.335,300.66)
5298: (x,y)=(-65.2567,304.6)
5299: (x,y)=(-64.9079,299.612)
5300: (x,y)=(-62.7948,304.144)
5301: (x,y)=(-67.7188,303.276)
5302: (x,y)=(-64.5049,307.106)
5303: (x,y)=(-67.3728,311.202)
5304: (x,y)=(-62.9997,308.777)
5305: (x,y)=(-59.2839,312.123)
5306: (x,y)=(-60.3235,307.232)
5307: (x,y)=(-65.2961,307.755)
5308: (x,y)=(-67.488,303.261)
5309: (x,y)=(-72.4264,304.043)
5310: (x,y)=(-76.5716,301.247)
5311: (x,y)=(-71.7653,299.869)
5312: (x,y)=(-76.4012,297.996)
5313: (x,y)=(-71.5497,299.206)
5314: (x,y)=(-66.5619,299.554)
5315: (x,y)=(-67.7715,304.406)
5316: (x,y)=(-69.8846,299.874)
5317: (x,y)=(-68.7598,295.003)
5318: (x,y)=(-66.3358,299.376)
5319: (x,y)=(-61.3845,298.68)
5320: (x,y)=(-64.2523,302.776)
5321: (x,y)=(-69.2333,302.34)
5322: (x,y)=(-74.1847,301.644)
5323: (x,y)=(-79.1656,302.08)
5324: (x,y)=(-84.0897,301.211)
5325: (x,y)=(-83.9152,306.208)
5326: (x,y)=(-85.2093,311.038)
5327: (x,y)=(-86.0775,306.114)
5328: (x,y)=(-87.2023,301.242)
5329: (x,y)=(-92.0741,302.367)
5330: (x,y)=(-87.9289,299.571)
5331: (x,y)=(-91.3389,295.914)
5332: (x,y)=(-87.2432,293.046)
5333: (x,y)=(-90.2522,297.039)
5334: (x,y)=(-92.0441,292.372)
5335: (x,y)=(-97.041,292.197)
5336: (x,y)=(-100.451,295.854)
5337: (x,y)=(-97.6551,291.709)
5338: (x,y)=(-93.61,294.648)
5339: (x,y)=(-89.7797,297.861)
5340: (x,y)=(-93.9731,300.585)
5341: (x,y)=(-94.2348,295.592)
5342: (x,y)=(-89.4051,294.297)
5343: (x,y)=(-86.1912,290.467)
5344: (x,y)=(-87.6531,285.686)
5345: (x,y)=(-88.7778,290.558)
5346: (x,y)=(-93.6293,289.348)
5347: (x,y)=(-89.3435,291.923)
5348: (x,y)=(-84.3921,291.227)
5349: (x,y)=(-79.8244,293.261)
5350: (x,y)=(-75.0181,294.639)
5351: (x,y)=(-70.688,297.139)
5352: (x,y)=(-70.0786,302.102)
5353: (x,y)=(-66.0854,305.111)
5354: (x,y)=(-62.1454,302.033)
5355: (x,y)=(-66.9269,300.571)
5356: (x,y)=(-61.9459,301.007)
5357: (x,y)=(-61.1638,305.945)
5358: (x,y)=(-64.1728,301.952)
5359: (x,y)=(-62.2998,306.588)
5360: (x,y)=(-63.4246,301.716)
5361: (x,y)=(-65.6164,297.222)
5362: (x,y)=(-60.6438,296.699)
5363: (x,y)=(-57.4299,300.529)
5364: (x,y)=(-59.3029,295.894)
5365: (x,y)=(-55.8296,292.297)
5366: (x,y)=(-60.023,295.02)
5367: (x,y)=(-57.9893,299.588)
5368: (x,y)=(-57.0352,304.496)
5369: (x,y)=(-58.6631,309.223)
5370: (x,y)=(-61.8097,313.109)
5371: (x,y)=(-56.8856,313.977)
5372: (x,y)=(-53.8073,310.037)
5373: (x,y)=(-58.7799,310.56)
5374: (x,y)=(-53.9984,312.022)
5375: (x,y)=(-52.3706,307.294)
5376: (x,y)=(-49.7954,311.58)
5377: (x,y)=(-49.0995,316.531)
5378: (x,y)=(-44.6445,314.262)
5379: (x,y)=(-45.7692,319.133)
5380: (x,y)=(-41.6241,316.337)
5381: (x,y)=(-45.034,312.681)
5382: (x,y)=(-45.7299,317.632)
5383: (x,y)=(-50.7269,317.806)
5384: (x,y)=(-45.739,318.155)
5385: (x,y)=(-47.9309,322.649)
5386: (x,y)=(-49.8039,327.285)
5387: (x,y)=(-51.8376,322.717)
5388: (x,y)=(-54.2617,318.344)
5389: (x,y)=(-56.6857,313.971)
5390: (x,y)=(-56.424,308.978)
5391: (x,y)=(-51.7256,307.268)
5392: (x,y)=(-47.123,309.222)
5393: (x,y)=(-44.4735,304.981)
5394: (x,y)=(-41.5345,309.026)
5395: (x,y)=(-40.1563,304.22)
5396: (x,y)=(-37.2174,300.175)
5397: (x,y)=(-33.0241,297.452)
5398: (x,y)=(-33.7199,292.501)
5399: (x,y)=(-32.0921,287.773)
5400: (x,y)=(-27.1195,287.25)
5401: (x,y)=(-25.5744,282.495)
5402: (x,y)=(-26.784,287.347)
5403: (x,y)=(-31.784,287.347)
5404: (x,y)=(-30.4899,282.517)
5405: (x,y)=(-25.854,284.39)
5406: (x,y)=(-26.7222,279.466)
5407: (x,y)=(-22.482,276.816)
5408: (x,y)=(-24.0271,281.572)
5409: (x,y)=(-28.1723,278.776)
5410: (x,y)=(-26.2186,274.173)
5411: (x,y)=(-25.2646,269.265)
5412: (x,y)=(-29.7196,266.995)
5413: (x,y)=(-24.8289,268.035)
5414: (x,y)=(-20.543,265.459)
5415: (x,y)=(-17.9678,261.174)
5416: (x,y)=(-20.2378,256.718)
5417: (x,y)=(-15.2652,257.241)
5418: (x,y)=(-10.5667,255.531)
5419: (x,y)=(-6.85098,258.877)
5420: (x,y)=(-11.8236,258.354)
5421: (x,y)=(-9.17399,262.594)
5422: (x,y)=(-13.5471,260.17)
5423: (x,y)=(-10.4688,256.23)
5424: (x,y)=(-6.81202,259.64)
5425: (x,y)=(-8.92511,255.109)
5426: (x,y)=(-4.93193,252.1)
5427: (x,y)=(-0.738576,249.376)
5428: (x,y)=(0.471033,254.228)
5429: (x,y)=(2.50472,249.66)
5430: (x,y)=(0.391625,254.192)
5431: (x,y)=(3.04122,258.432)
5432: (x,y)=(7.37135,260.932)
5433: (x,y)=(7.80713,255.951)
5434: (x,y)=(3.27559,258.064)
5435: (x,y)=(1.81373,253.282)
5436: (x,y)=(-3.17409,252.934)
5437: (x,y)=(-5.82369,257.174)
5438: (x,y)=(-1.36865,259.444)
5439: (x,y)=(-3.56051,254.95)
5440: (x,y)=(-7.89064,257.45)
5441: (x,y)=(-5.85695,262.018)
5442: (x,y)=(-10.8379,261.582)
5443: (x,y)=(-13.6339,265.727)
5444: (x,y)=(-18.5723,266.509)
5445: (x,y)=(-23.3539,267.971)
5446: (x,y)=(-22.3143,272.862)
5447: (x,y)=(-17.4628,274.071)
5448: (x,y)=(-13.9273,277.607)
5449: (x,y)=(-11.3521,281.893)
5450: (x,y)=(-12.6462,277.063)
5451: (x,y)=(-8.70614,273.985)
5452: (x,y)=(-4.87592,277.199)
5453: (x,y)=(-0.882738,274.19)
5454: (x,y)=(-4.02934,278.075)
5455: (x,y)=(0.94327,278.598)
5456: (x,y)=(3.29063,283.013)
5457: (x,y)=(8.04591,284.558)
5458: (x,y)=(3.95015,287.426)
5459: (x,y)=(0.736212,283.596)
5460: (x,y)=(5.72936,283.334)
5461: (x,y)=(0.74154,282.985)
5462: (x,y)=(5.66558,283.853)
5463: (x,y)=(2.72665,287.898)
5464: (x,y)=(7.55628,286.604)
5465: (x,y)=(4.83309,282.411)
5466: (x,y)=(9.78443,283.107)
5467: (x,y)=(6.57049,279.277)
5468: (x,y)=(7.7801,274.425)
5469: (x,y)=(9.4902,269.727)
5470: (x,y)=(5.20436,272.302)
5471: (x,y)=(9.65939,270.032)
5472: (x,y)=(11.4512,265.364)
5473: (x,y)=(15.6915,262.714)
5474: (x,y)=(19.4072,266.06)
5475: (x,y)=(14.7393,264.268)
5476: (x,y)=(11.3293,260.612)
5477: (x,y)=(8.251,256.671)
5478: (x,y)=(6.45916,252.004)
5479: (x,y)=(2.98587,255.6)
5480: (x,y)=(1.44078,260.356)
5481: (x,y)=(2.65039,255.504)
5482: (x,y)=(4.84225,259.998)
5483: (x,y)=(9.8392,259.824)
5484: (x,y)=(5.27147,261.857)
5485: (x,y)=(2.47551,257.712)
5486: (x,y)=(-2.41523,258.752)
5487: (x,y)=(2.36629,257.29)
5488: (x,y)=(-2.62685,257.028)
5489: (x,y)=(1.74625,254.604)
5490: (x,y)=(-2.70879,252.334)
5491: (x,y)=(2.27219,251.898)
5492: (x,y)=(7.02747,250.353)
5493: (x,y)=(2.74163,247.778)
5494: (x,y)=(7.72261,247.342)
5495: (x,y)=(9.59564,242.706)
5496: (x,y)=(14.5038,241.752)
5497: (x,y)=(18.497,244.761)
5498: (x,y)=(23.4483,245.457)
5499: (x,y)=(26.9216,249.054)
5500: (x,y)=(29.2689,244.639)
5501: (x,y)=(24.272,244.465)
5502: (x,y)=(23.4037,249.389)
5503: (x,y)=(25.7511,244.974)
5504: (x,y)=(24.041,240.275)
5505: (x,y)=(23.4317,235.313)
5506: (x,y)=(20.3534,239.253)
5507: (x,y)=(22.5452,234.759)
5508: (x,y)=(17.5483,234.584)
5509: (x,y)=(22.439,233.545)
5510: (x,y)=(27.363,234.413)
5511: (x,y)=(22.363,234.413)
5512: (x,y)=(26.9656,236.367)
5513: (x,y)=(31.7952,237.661)
5514: (x,y)=(30.6704,232.789)
5515: (x,y)=(34.206,236.324)
5516: (x,y)=(38.9336,234.697)
5517: (x,y)=(40.2276,229.867)
5518: (x,y)=(35.5292,228.157)
5519: (x,y)=(30.6051,229.025)
5520: (x,y)=(27.6662,233.07)
5521: (x,y)=(26.3721,237.9)
5522: (x,y)=(30.9746,239.853)
5523: (x,y)=(32.9283,235.251)
5524: (x,y)=(31.9743,240.159)
5525: (x,y)=(34.1661,244.653)
5526: (x,y)=(29.1692,244.479)
5527: (x,y)=(25.7592,248.135)
5528: (x,y)=(20.851,249.089)
5529: (x,y)=(22.1451,244.26)
5530: (x,y)=(24.7203,248.546)
5531: (x,y)=(28.436,245.2)
5532: (x,y)=(25.3577,249.14)
5533: (x,y)=(28.831,252.737)
5534: (x,y)=(24.891,255.815)
5535: (x,y)=(27.9693,251.875)
5536: (x,y)=(25.1733,256.02)
5537: (x,y)=(24.564,251.057)
5538: (x,y)=(24.3023,246.064)
5539: (x,y)=(19.6038,247.774)
5540: (x,y)=(24.4757,248.899)
5541: (x,y)=(22.2057,253.354)
5542: (x,y)=(25.0017,257.499)
5543: (x,y)=(22.4265,261.785)
5544: (x,y)=(23.4661,266.676)
5545: (x,y)=(26.4751,270.669)
5546: (x,y)=(23.3968,274.609)
5547: (x,y)=(27.9284,272.496)
5548: (x,y)=(23.6881,269.846)
5549: (x,y)=(22.6486,274.737)
5550: (x,y)=(17.6554,274.476)
5551: (x,y)=(18.9495,269.646)
5552: (x,y)=(22.9946,266.707)
5553: (x,y)=(21.3668,271.435)
5554: (x,y)=(22.3208,276.343)
5555: (x,y)=(23.6149,271.513)
5556: (x,y)=(21.423,267.019)
5557: (x,y)=(26.423,267.019)
5558: (x,y)=(30.5682,269.815)
5559: (x,y)=(33.3642,273.96)
5560: (x,y)=(35.3979,269.393)
5561: (x,y)=(30.4465,270.088)
5562: (x,y)=(32.0744,265.361)
5563: (x,y)=(27.7443,267.861)
5564: (x,y)=(22.7633,267.425)
5565: (x,y)=(27.3992,265.552)
5566: (x,y)=(26.531,260.628)
5567: (x,y)=(30.471,257.55)
5568: (x,y)=(34.7113,254.9)
5569: (x,y)=(38.0569,258.616)
5570: (x,y)=(33.0577,258.703)
5571: (x,y)=(28.0645,258.965)
5572: (x,y)=(24.8506,255.134)
5573: (x,y)=(24.6761,260.131)
5574: (x,y)=(25.1987,265.104)
5575: (x,y)=(25.6345,270.085)
5576: (x,y)=(21.6944,267.007)
5577: (x,y)=(16.8226,268.131)
5578: (x,y)=(20.0365,264.301)
5579: (x,y)=(22.6861,260.061)
5580: (x,y)=(22.1635,255.088)
5581: (x,y)=(19.5883,250.803)
5582: (x,y)=(16.6494,254.848)
5583: (x,y)=(12.2346,257.195)
5584: (x,y)=(9.15633,261.135)
5585: (x,y)=(10.2811,266.007)
5586: (x,y)=(14.1113,269.221)
5587: (x,y)=(9.18727,270.089)
5588: (x,y)=(9.10001,275.088)
5589: (x,y)=(4.64497,277.358)
5590: (x,y)=(-0.245765,276.319)
5591: (x,y)=(-3.4597,272.488)
5592: (x,y)=(-3.54697,277.488)
5593: (x,y)=(1.20832,279.033)
5594: (x,y)=(4.98187,282.313)
5595: (x,y)=(8.97504,285.322)
5596: (x,y)=(13.3052,282.822)
5597: (x,y)=(14.4299,277.95)
5598: (x,y)=(9.45732,278.473)
5599: (x,y)=(12.4664,282.466)
5600: (x,y)=(8.3212,279.67)
5601: (x,y)=(10.3549,284.238)
5602: (x,y)=(5.44675,283.284)
5603: (x,y)=(10.3549,282.33)
5604: (x,y)=(13.5015,286.216)
5605: (x,y)=(18.1374,284.343)
5606: (x,y)=(13.9922,281.547)
5607: (x,y)=(16.7154,277.353)
5608: (x,y)=(21.7124,277.528)
5609: (x,y)=(18.4321,281.301)
5610: (x,y)=(17.478,276.393)
5611: (x,y)=(19.748,280.848)
5612: (x,y)=(19.8352,285.847)
5613: (x,y)=(23.1155,289.621)
5614: (x,y)=(18.8297,292.196)
5615: (x,y)=(19.3523,297.169)
5616: (x,y)=(21.6997,292.754)
5617: (x,y)=(20.2378,297.536)
5618: (x,y)=(15.2652,297.013)
5619: (x,y)=(15.701,301.994)
5620: (x,y)=(12.1655,298.458)
5621: (x,y)=(9.97362,302.952)
5622: (x,y)=(11.5187,298.197)
5623: (x,y)=(9.48502,293.629)
5624: (x,y)=(13.7253,296.279)
5625: (x,y)=(8.74429,296.715)
5626: (x,y)=(12.7894,293.776)
5627: (x,y)=(15.936,297.661)
5628: (x,y)=(14.4741,292.88)
5629: (x,y)=(18.3598,296.027)
5630: (x,y)=(23.0583,297.737)
5631: (x,y)=(26.655,301.21)
5632: (x,y)=(21.8035,302.42)
5633: (x,y)=(22.2393,307.401)
5634: (x,y)=(17.2515,307.052)
5635: (x,y)=(14.2424,303.059)
5636: (x,y)=(18.9409,301.348)
5637: (x,y)=(23.8127,302.473)
5638: (x,y)=(27.0267,298.643)
5639: (x,y)=(29.2185,303.137)
5640: (x,y)=(32.6918,306.734)
5641: (x,y)=(28.9183,310.014)
5642: (x,y)=(32.3283,313.671)
5643: (x,y)=(37.2001,314.795)
5644: (x,y)=(32.2191,315.231)
5645: (x,y)=(28.0739,318.027)
5646: (x,y)=(29.368,322.857)
5647: (x,y)=(24.913,325.127)
5648: (x,y)=(20.1315,326.589)
5649: (x,y)=(25.1125,327.024)
5650: (x,y)=(30.0032,325.985)
5651: (x,y)=(28.2931,330.683)
5652: (x,y)=(31.4397,326.798)
5653: (x,y)=(30.7438,331.749)
5654: (x,y)=(35.2378,333.941)
5655: (x,y)=(30.7828,336.211)
5656: (x,y)=(25.8443,335.429)
5657: (x,y)=(27.6362,330.761)
5658: (x,y)=(27.3745,325.768)
5659: (x,y)=(23.839,322.232)
5660: (x,y)=(19.7432,325.1)
5661: (x,y)=(24.5247,323.638)
5662: (x,y)=(29.1926,325.43)
5663: (x,y)=(29.3671,320.433)
5664: (x,y)=(26.9431,316.06)
5665: (x,y)=(27.8971,311.152)
5666: (x,y)=(29.2753,306.345)
5667: (x,y)=(31.4672,310.839)
5668: (x,y)=(33.5803,306.308)
5669: (x,y)=(37.7736,303.585)
5670: (x,y)=(39.6466,298.949)
5671: (x,y)=(34.919,297.321)
5672: (x,y)=(34.3097,292.358)
5673: (x,y)=(37.2486,296.403)
5674: (x,y)=(42.1871,297.185)
5675: (x,y)=(37.8569,299.685)
5676: (x,y)=(37.7697,304.685)
5677: (x,y)=(40.1937,300.312)
5678: (x,y)=(35.4384,301.857)
5679: (x,y)=(30.9445,299.665)
5680: (x,y)=(29.5663,304.471)
5681: (x,y)=(32.1415,300.185)
5682: (x,y)=(29.6415,295.855)
5683: (x,y)=(30.1641,290.882)
5684: (x,y)=(25.1672,291.057)
5685: (x,y)=(21.9532,294.887)
5686: (x,y)=(22.6491,289.936)
5687: (x,y)=(18.276,292.36)
5688: (x,y)=(18.7118,287.379)
5689: (x,y)=(18.9735,292.372)
5690: (x,y)=(22.9666,289.363)
5691: (x,y)=(18.2987,291.155)
5692: (x,y)=(22.6289,293.655)
5693: (x,y)=(27.6167,293.306)
5694: (x,y)=(24.8935,297.499)
5695: (x,y)=(25.7617,302.423)
5696: (x,y)=(26.1105,307.411)
5697: (x,y)=(23.1716,311.456)
5698: (x,y)=(18.2634,312.41)
5699: (x,y)=(22.8312,314.444)
5700: (x,y)=(27.4671,316.317)
5701: (x,y)=(22.7992,318.109)
5702: (x,y)=(17.9084,319.149)
5703: (x,y)=(15.7954,314.617)
5704: (x,y)=(10.844,315.313)
5705: (x,y)=(8.12082,319.506)
5706: (x,y)=(12.8761,321.051)
5707: (x,y)=(15.5257,325.292)
5708: (x,y)=(16.7353,320.44)
5709: (x,y)=(14.4654,324.895)
5710: (x,y)=(18.2956,328.109)
5711: (x,y)=(13.7278,326.075)
5712: (x,y)=(9.35475,328.499)
5713: (x,y)=(5.63903,331.845)
5714: (x,y)=(1.39879,329.195)
5715: (x,y)=(-3.58903,329.544)
5716: (x,y)=(-7.78239,326.821)
5717: (x,y)=(-8.56456,331.759)
5718: (x,y)=(-13.5273,331.15)
